"","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","word","score"
"101",FALSE,1,NA,2017-11-14 20:21:41,FALSE,NA,"930531201672101888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","spook_k",0,FALSE,FALSE,NA,NA,"hard",-1
"102",FALSE,1,NA,2017-11-14 20:21:41,FALSE,NA,"930531201672101888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","spook_k",0,FALSE,FALSE,NA,NA,"fuck",-4
"103",FALSE,1,NA,2017-11-14 20:21:41,FALSE,NA,"930531201672101888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","spook_k",0,FALSE,FALSE,NA,NA,"ugly",-3
"104",FALSE,0,NA,2017-11-14 20:21:38,FALSE,NA,"930531189592608769",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","T_rist_n",13,TRUE,FALSE,NA,NA,"bad",-3
"105",FALSE,0,NA,2017-11-14 20:21:38,FALSE,NA,"930531189592608769",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","T_rist_n",13,TRUE,FALSE,NA,NA,"god",1
"106",FALSE,0,NA,2017-11-14 20:21:23,FALSE,NA,"930531126044758018",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wtf_genesis",282,TRUE,FALSE,NA,NA,"like",2
"107",FALSE,0,NA,2017-11-14 20:21:23,FALSE,NA,"930531126044758018",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wtf_genesis",282,TRUE,FALSE,NA,NA,"ass",-4
"108",FALSE,0,NA,2017-11-14 20:21:23,FALSE,NA,"930531126044758018",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wtf_genesis",282,TRUE,FALSE,NA,NA,"fucking",-4
"109",FALSE,0,NA,2017-11-14 20:21:22,FALSE,NA,"930531121594544129",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zarryt0xic",499,TRUE,FALSE,NA,NA,"disappeared",-1
"110",FALSE,0,NA,2017-11-14 20:20:50,FALSE,NA,"930530989494894596",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kayeparkinson",499,TRUE,FALSE,NA,NA,"disappeared",-1
"111",FALSE,0,NA,2017-11-14 20:20:47,FALSE,NA,"930530974760407040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","__ny828__",282,TRUE,FALSE,NA,NA,"like",2
"112",FALSE,0,NA,2017-11-14 20:20:47,FALSE,NA,"930530974760407040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","__ny828__",282,TRUE,FALSE,NA,NA,"ass",-4
